Time,Channel A,Channel B
(us),(mV),(mV)

-6.00788764,1.76396978,-0.74770343
-6.00388764,2.25836945,-2.96029520
-5.99988764,1.56865132,-3.95214677
-5.99588764,1.86162913,-0.99185151
-5.99188764,2.06305122,-2.22785115
-5.98788764,2.45368814,-1.48014760
-5.98388764,1.66631055,-3.46385050
-5.97988764,1.96539199,-1.23599958
-5.97588764,2.25836945,0.00000000
-5.97188764,2.55134726,-1.73955488
-5.96788764,2.55134726,-1.23599958
-5.96388764,1.96539199,-0.25940731
-5.95988764,2.06305122,-0.99185151
-5.95588764,1.76396978,-2.96029520
-5.95188764,1.17801452,-3.21970248
-5.94788764,2.06305122,-2.96029520
-5.94388764,1.86162913,-0.74770343
-5.93988764,2.16071033,-1.98370302
-5.93588764,1.66631055,-1.23599958
-5.93188764,1.86162913,-0.25940731
-5.92788764,1.76396978,-0.99185151
-5.92388764,1.96539199,-0.25940731
-5.91988764,1.27567363,-0.99185151
-5.91588764,2.06305122,-2.96029520
-5.91188764,2.35602903,-0.74770343
-5.90788764,2.45368814,-1.73955488
-5.90388764,2.06305122,-0.50355536
-5.89988764,1.47099209,-0.50355536
-5.89588764,2.06305122,0.24414806
-5.89188764,1.96539199,-0.99185151
-5.88788764,1.96539199,-3.21970248
-5.88388764,1.37333298,-1.73955488
-5.87988764,1.47099209,0.00000000
-5.87588764,2.25836945,-0.25940731
-5.87188764,1.86162913,-0.74770343
-5.86788764,2.16071033,-3.46385050
-5.86388764,1.96539199,-0.50355536
-5.85988764,2.45368814,-1.23599958
-5.85588764,2.06305122,-3.95214677
-5.85188764,2.35602903,-1.73955488
-5.84788764,1.56865132,-0.25940731
-5.84388764,2.25836945,-0.50355536
-5.83988764,2.06305122,-1.73955488
-5.83588764,2.06305122,-2.47199917
-5.83188764,1.47099209,-1.23599958
-5.82788764,1.86162913,-2.96029520
-5.82388764,2.25836945,-1.98370302
-5.81988764,2.45368814,-3.70799875
-5.81588764,1.86162913,-0.99185151
-5.81188764,1.66631055,-2.96029520
-5.80788764,1.96539199,-2.22785115
-5.80388764,1.66631055,-2.47199917
-5.79988764,2.06305122,-3.95214677
-5.79588764,2.74666595,-0.74770343
-5.79188764,2.16071033,-0.50355536
-5.78788764,2.25836945,-2.47199917
-5.78388764,2.16071033,0.73244417
-5.77988764,1.27567363,-1.98370302
-5.77588764,1.37333298,-0.99185151
-5.77188764,2.64900661,-1.23599958
-5.76788764,1.96539199,-0.99185151
